Unnamed: 0,car_prices_in_rupee,kms_driven,fuel_type,transmission,ownership,manufacture,engine,Seats,company_name,car_names
2910,17500000.0,7100,Petrol,Automatic,1st Owner,2021,1968,5,Audi,RS7 4.0 TFSI
2911,17500000.0,11500,Petrol,Automatic,1st Owner,2020,1984,5,Audi,RS7 4.0 TFSI
2912,4180000.0,16000,Petrol,Automatic,1st Owner,2021,1998,5,Audi,A4 Technology
2913,1680000.0,5500,Petrol,Manual,1st Owner,2022,1999,5,Mahindra,Thar LX 4-Str Hard Top
2914,2390000.0,56500,Diesel,Automatic,1st Owner,2016,1395,5,Audi,Q5 30 TDI quattro Premium Plus
2915,1480000.0,45500,Diesel,Automatic,1st Owner,2014,1968,5,Audi,A4 35 TDI Technology Edition
2916,5780000.0,16000,Petrol,Automatic,0th Owner,2021,1968,5,Audi,A6 45 TFSI Technology
2917,4590000.0,12000,Petrol,Automatic,1st Owner,2021,1781,5,Audi,A4 Technology
2918,2980000.0,59000,Diesel,Automatic,1st Owner,2018,1798,5,Jaguar,XF 2.0 Diesel Prestige
2919,3380000.0,41000,Petrol,Automatic,1st Owner,2018,1248,7,Audi,A4 30 TFSI Technology
2920,2390000.0,44600,Diesel,Automatic,1st Owner,2017,1368,5,Audi,Q3 35 TDI Quattro Premium
2921,1280000.0,38500,Diesel,Automatic,2nd Owner,2013,796,5,Audi,Q3 35 TDI Quattro Premium Plus
2922,1480000.0,57500,Petrol,Automatic,3rd Owner,2013,1493,5,Audi,A4 1.8 TFSI
2923,3380000.0,12000,Petrol,Automatic,1st Owner,2016,1968,5,Audi,A6 35 TFSI Matrix
2924,329000.0,84703,Diesel,Manual,3rd Owner,2014,1248,4,Maruti,Swift VDI BSIV
2925,1690000.0,78000,Petrol,Automatic,1st Owner,2018,1248,5,Jeep,Compass 1.4 Longitude Plus AT
2926,267000.0,26562,Petrol,Manual,1st Owner,2017,1199,5,Maruti,Alto 800 LXI
2927,197000.0,93021,Diesel,Manual,3rd Owner,2013,1998,5,Mahindra,Quanto C2
2928,3280000.0,43900,Diesel,Automatic,1st Owner,2019,1798,5,Audi,A4 35 TDI Technology
2929,392000.0,107813,Diesel,Manual,1st Owner,2015,1395,5,Maruti,Swift VDI BSIV
2930,537000.0,64299,Diesel,Manual,1st Owner,2017,2354,5,Maruti,Swift Dzire VDI
2931,402000.0,25424,Petrol,Manual,1st Owner,2019,1248,5,Tata,Tiago 1.2 Revotron XT
2932,5580000.0,20800,Petrol,Automatic,1st Owner,2019,1086,5,BMW,6 Series GT 630i Luxury Line 2018-2021
2933,2080000.0,32000,Petrol,Automatic,1st Owner,2016,1968,5,Audi,A4 35 TFSi Premium
2934,3280000.0,27000,Petrol,Automatic,2nd Owner,2018,1498,5,Audi,A4 30 TFSI Technology
2935,294000.0,80046,Petrol,Manual,3rd Owner,2010,1498,5,Honda,Accord 2.4 MT
2936,372000.0,104724,Diesel,Manual,2nd Owner,2014,1582,5,Maruti,Swift Dzire VDI
2937,,91693,Petrol,Manual,3rd Owner,2008,998,5,Hyundai,Santro Xing GL
2938,1980000.0,85000,Diesel,Automatic,1st Owner,2015,1086,5,Audi,A6 35 TDI
2939,543000.0,84280,Diesel,Manual,1st Owner,2018,1197,5,Ford,Freestyle Titanium Diesel BSIV
2940,257000.0,72947,Diesel,Manual,2nd Owner,2013,1248,5,Honda,Amaze S i-Dtech
2941,1427000.0,38507,Diesel,Automatic,1st Owner,2019,1198,5,Hyundai,Creta 1.6 SX Automatic Diesel
2942,351000.0,60033,Cng,Manual,1st Owner,2017,998,7,Maruti,Wagon R LXI CNG
2943,257000.0,35355,Petrol,Manual,2nd Owner,2014,1196,5,Hyundai,i10 Magna 1.1L
2944,373000.0,24027,Petrol,Manual,2nd Owner,2017,1591,7,Hyundai,Grand i10 Magna
2945,558000.0,57256,Diesel,Manual,1st Owner,2017,2179,5,Maruti,Baleno 1.3 Alpha
2946,282000.0,62029,Petrol,Manual,1st Owner,2013,1197,5,Honda,Amaze EX i-Vtech
2947,270000.0,97811,Cng,Manual,1st Owner,2014,1498,5,Maruti,Wagon R LXI CNG
2948,164000.0,54910,Petrol,Manual,1st Owner,2011,1197,5,Ford,Figo Petrol ZXI
2949,537000.0,69271,Petrol,Manual,1st Owner,2016,1798,5,Hyundai,Verna 1.6 VTVT S
